"new_GID","PLOT.ID","rows","ranges","Block","Rep","Trt","year","genotype","note","Group","Calibration","ASD","CHL"
"B73 X Mo17_LN","3554","4","12","1","2","LN","2022","B73 X Mo17","Hybrid","Hybrid","0","2",367.954537621423
"B73_HN","4033","33","1","1","2","HN","2022","B73","BGEM_Tall_late","Inbred","0","2",480.965155088987
"B73_HN","4318","18","7","4","2","HN","2022","B73","BGEM_Short_early","Inbred","0","2",480.965155088987
"B73_HN","4114","14","3","4","2","HN","2022","B73","BGEM_Short_late","Inbred","0","1",480.965155088987
"B73_HN","4327","27","7","4","2","HN","2022","B73","BGEM_Tall_early","Inbred","0","1",480.965155088987
"B73_HN","4049","49","1","4","2","HN","2022","B73","BGEM_Tall_late","Inbred","0","2",480.965155088987
"B73_HN","4131","31","3","1","2","HN","2022","B73","BGEM_Tall_late","Inbred","0","1",480.965155088987
"B73_HN","4253","3","6","4","2","HN","2022","B73","BGEM_Short_early","Inbred","0","1",480.965155088987
"B73_HN","4188","38","4","4","2","HN","2022","B73","BGEM_Tall_early","Inbred","0","2",480.965155088987
"B73_HN","4163","13","4","4","2","HN","2022","B73","BGEM_Short_late","Inbred","0","2",480.965155088987
"B73_HN","4204","4","5","1","2","HN","2022","B73","BGEM_Short_early","Inbred","0","1",480.965155088987
"B73_HN","4098","48","2","4","2","HN","2022","B73","BGEM_Tall_late","Inbred","0","2",480.965155088987
"B73_HN","4180","30","4","4","2","HN","2022","B73","BGEM_Tall_late","Inbred","0","1",480.965155088987
"B73_HN","4302","2","7","4","2","HN","2022","B73","BGEM_Short_early","Inbred","0","1",480.965155088987
"B73_HN","4065","15","2","4","2","HN","2022","B73","BGEM_Short_late","Inbred","0","1",480.965155088987
"B73_HN","4237","37","5","4","2","HN","2022","B73","BGEM_Tall_early","Inbred","0","2",480.965155088987
"B73_HN","4082","32","2","1","2","HN","2022","B73","BGEM_Tall_late","Inbred","0","1",480.965155088987
"B73_HN","4373","23","8","4","2","HN","2022","B73","Hybrid","Inbred","0","1",480.965155088987
"B73_HN","4269","19","6","4","2","HN","2022","B73","BGEM_Short_early","Inbred",NA,NA,480.965155088987
"B73_HN","4343","43","7","1","2","HN","2022","B73","BGEM_Tall_early","Inbred","0","2",480.965155088987
"B73_HN","4220","20","5","4","2","HN","2022","B73","BGEM_Short_early","Inbred","0","1",480.965155088987
"B73_HN","4387","37","8","1","2","HN","2022","B73","Hybrid","Inbred","0","1",480.965155088987
"B73_HN","4147","47","3","1","2","HN","2022","B73","BGEM_Tall_late","Inbred","0","1",480.965155088987
"B73_HN","4286","36","6","4","2","HN","2022","B73","BGEM_Tall_early","Inbred","0","2",480.965155088987
"B73_HN","4016","16","1","1","2","HN","2022","B73","BGEM_Short_late","Inbred","0","2",480.965155088987
"B73_LN","3350","50","7","4","2","LN","2022","B73","BGEM_Short_early","Inbred","0","2",382.340699136424
"B73_LN","3001","1","1","4","2","LN","2022","B73","BGEM_Tall_early","Inbred","0","1",382.340699136424
"B73_LN","3049","49","1","4","2","LN","2022","B73","BGEM_Short_late","Inbred","0","2",382.340699136424
"B73_LN","3394","44","8","4","2","LN","2022","B73","Hybrid","Inbred","0","2",382.340699136424
"B73_LN","3033","33","1","1","2","LN","2022","B73","BGEM_Short_late","Inbred","0","1",382.340699136424
"B73_LN","3294","44","6","4","2","LN","2022","B73","BGEM_Short_early","Inbred","0","1",382.340699136424
"B73_LN","3335","35","7","1","2","LN","2022","B73","BGEM_Short_early","Inbred","0","2",382.340699136424
"B73_LN","3245","45","5","4","2","LN","2022","B73","BGEM_Short_early","Inbred","0","1",382.340699136424
"B73_LN","3180","30","4","1","2","LN","2022","B73","BGEM_Short_late","Inbred","0","1",382.340699136424
"B73_LN","3310","10","7","4","2","LN","2022","B73","BGEM_Tall_late","Inbred","0","1",382.340699136424
"B73_LN","3017","17","1","4","2","LN","2022","B73","BGEM_Tall_early","Inbred","0","1",382.340699136424
"B73_LN","3229","29","5","1","2","LN","2022","B73","BGEM_Short_early","Inbred","0","1",382.340699136424
"B73_LN","3163","13","4","1","2","LN","2022","B73","BGEM_Tall_early","Inbred","0","1",382.340699136424
"B73_LN","3261","11","6","1","2","LN","2022","B73","BGEM_Tall_late","Inbred","0","2",382.340699136424
"B73_LN","3082","32","2","4","2","LN","2022","B73","BGEM_Short_late","Inbred","0","2",382.340699136424
"B73_LN","3098","48","2","1","2","LN","2022","B73","BGEM_Short_late","Inbred","0","1",382.340699136424
"B73_LN","3196","46","4","1","2","LN","2022","B73","BGEM_Short_early","Inbred","0","1",382.340699136424
"B73_LN","3278","28","6","1","2","LN","2022","B73","BGEM_Short_early","Inbred","0","2",382.340699136424
"B73_LN","3115","15","3","4","2","LN","2022","B73","BGEM_Tall_early","Inbred","0","2",382.340699136424
"B73_LN","3441","41","9","1","2","LN","2022","B73","Hybrid","Inbred","0","2",382.340699136424
"B73_LN","3066","16","2","1","2","LN","2022","B73","BGEM_Tall_early","Inbred","0","1",382.340699136424
"B73_LN","3147","47","3","4","2","LN","2022","B73","BGEM_Short_late","Inbred","0","2",382.340699136424
"B73_LN","3212","12","5","1","2","LN","2022","B73","BGEM_Tall_late","Inbred","0","2",382.340699136424
"B73_LN","3325","25","7","1","2","LN","2022","B73","BGEM_Tall_late","Inbred","0","1",382.340699136424
"B73_LN","3131","31","3","1","2","LN","2022","B73","BGEM_Short_late","Inbred","0","2",382.340699136424
"BGEM-0001-N_HN","4338","38","7","1","2","HN","2022","BGEM-0001-N","BGEM_Tall_early","Inbred","0","2",291.162515382077
"BGEM-0001-N_LN","3151","1","4","1","2","LN","2022","BGEM-0001-N","BGEM_Tall_early","Inbred","0","2",290.635128027747
"BGEM-0002-N X B73_HN","4382","32","8","4","2","HN","2022","BGEM-0002-N X B73","Hybrid","Hybrid","0","1",479.846266871999
"BGEM-0002-N X B73_LN","3368","18","8","4","2","LN","2022","BGEM-0002-N X B73","Hybrid","Hybrid","0","1",270.419427315096
"BGEM-0002-N_HN","4339","39","7","4","2","HN","2022","BGEM-0002-N","BGEM_Tall_early","Inbred","0","2",382.76199044853
"BGEM-0002-N_LN","3152","2","4","1","2","LN","2022","BGEM-0002-N","BGEM_Tall_early","Inbred","0","2",304.24224165538
"BGEM-0003-N X B73_HN","4356","6","8","1","2","HN","2022","BGEM-0003-N X B73","Hybrid","Hybrid","0","2",458.137265386689
"BGEM-0003-N X B73_LN","3374","24","8","1","2","LN","2022","BGEM-0003-N X B73","Hybrid","Hybrid","0","2",294.605002316923
"BGEM-0003-N_HN","4136","36","3","4","2","HN","2022","BGEM-0003-N","BGEM_Tall_late","Inbred","0","1",413.810226600626
"BGEM-0003-N_LN","3274","24","6","4","2","LN","2022","BGEM-0003-N","BGEM_Tall_late","Inbred","0","1",309.650414361934
"BGEM-0004-N X B73_HN","4370","20","8","1","2","HN","2022","BGEM-0004-N X B73","Hybrid","Hybrid","0","1",482.541843390759
"BGEM-0004-N X B73_LN","3425","25","9","4","2","LN","2022","BGEM-0004-N X B73","Hybrid","Hybrid","0","2",325.497756922058
"BGEM-0004-N_HN","4111","11","3","1","2","HN","2022","BGEM-0004-N","BGEM_Short_late","Inbred","0","1",357.321219474798
"BGEM-0004-N_LN","3136","36","3","4","2","LN","2022","BGEM-0004-N","BGEM_Short_late","Inbred","0","2",299.571607779201
"BGEM-0005-N X B73_HN","4369","19","8","4","2","HN","2022","BGEM-0005-N X B73","Hybrid","Hybrid","0","1",477.987415058499
"BGEM-0005-N X B73_LN","3403","3","9","4","2","LN","2022","BGEM-0005-N X B73","Hybrid","Hybrid","0","1",314.232235024379
"BGEM-0005-N_HN","4346","46","7","1","2","HN","2022","BGEM-0005-N","BGEM_Tall_early","Inbred","0","2",463.308557709883
"BGEM-0005-N_LN","3159","9","4","4","2","LN","2022","BGEM-0005-N","BGEM_Tall_early","Inbred","0","2",348.123594468954
"BGEM-0006-S X Mo17_HN","4595","45","12","1","2","HN","2022","BGEM-0006-S X Mo17","Hybrid","Hybrid","0","1",498.103943665459
"BGEM-0006-S X Mo17_LN","3492","42","10","4","2","LN","2022","BGEM-0006-S X Mo17","Hybrid","Hybrid","0","1",306.767259679068
"BGEM-0006-S_HN","4347","47","7","4","2","HN","2022","BGEM-0006-S","BGEM_Tall_early","Inbred","0","2",366.035385810178
"BGEM-0006-S_LN","3160","10","4","4","2","LN","2022","BGEM-0006-S","BGEM_Tall_early","Inbred","0","1",315.479340942899
"BGEM-0007-S_HN","4195","45","4","1","2","HN","2022","BGEM-0007-S","BGEM_Tall_early","Inbred","0","2",354.166118856064
"BGEM-0007-S_LN","3008","8","1","4","2","LN","2022","BGEM-0007-S","BGEM_Tall_early","Inbred","0","1",371.610986615052
"BGEM-0008-S_HN","4166","16","4","1","2","HN","2022","BGEM-0008-S","BGEM_Short_early","Inbred","0","2",370.434420515296
"BGEM-0008-S_LN","3191","41","4","1","2","LN","2022","BGEM-0008-S","BGEM_Short_early","Inbred","0","1",237.426397409499
"BGEM-0010-S X Mo17_HN","4475","25","10","1","2","HN","2022","BGEM-0010-S X Mo17","Hybrid","Hybrid","0","1",493.761540271209
"BGEM-0010-S X Mo17_LN","3591","41","12","4","2","LN","2022","BGEM-0010-S X Mo17","Hybrid","Hybrid","0","1",294.853265939931
"BGEM-0010-S_HN","4216","16","5","1","2","HN","2022","BGEM-0010-S","BGEM_Short_early","Inbred","0","2",396.991565300809
"BGEM-0010-S_LN","3241","41","5","4","2","LN","2022","BGEM-0010-S","BGEM_Short_early","Inbred","0","1",288.417887932167
"BGEM-0011-S X Mo17_HN","4492","42","10","4","2","HN","2022","BGEM-0011-S X Mo17","Hybrid","Hybrid","0","2",426.479716025712
"BGEM-0011-S X Mo17_LN","3481","31","10","1","2","LN","2022","BGEM-0011-S X Mo17","Hybrid","Hybrid","1","1.5",313.21374428083
"BGEM-0011-S_HN","4092","42","2","4","2","HN","2022","BGEM-0011-S","BGEM_Tall_late","Inbred","0","1",425.984857098321
"BGEM-0011-S_LN","3255","5","6","1","2","LN","2022","BGEM-0011-S","BGEM_Tall_late","Inbred","0","2",371.160360852657
"BGEM-0012-S X Mo17_HN","4503","3","11","4","2","HN","2022","BGEM-0012-S X Mo17","Hybrid","Hybrid","0","2",478.756342096721
"BGEM-0012-S X Mo17_LN","3502","2","11","1","2","LN","2022","BGEM-0012-S X Mo17","Hybrid","Hybrid","0","2",361.90642445242
"BGEM-0012-S_HN","4259","9","6","4","2","HN","2022","BGEM-0012-S","BGEM_Short_early","Inbred","0","1",475.298868612805
"BGEM-0012-S_LN","3284","34","6","4","2","LN","2022","BGEM-0012-S","BGEM_Short_early","Inbred","0","1",412.263430917081
"BGEM-0013-S_HN","4257","7","6","4","2","HN","2022","BGEM-0013-S","BGEM_Short_early","Inbred","0","1",414.370007421697
"BGEM-0013-S_LN","3282","32","6","1","2","LN","2022","BGEM-0013-S","BGEM_Short_early","Inbred","0","1",407.038329705559
"BGEM-0014-S X Mo17_HN","4545","45","11","1","2","HN","2022","BGEM-0014-S X Mo17","Hybrid","Hybrid","0","1",422.054902896096
"BGEM-0014-S X Mo17_LN","3487","37","10","1","2","LN","2022","BGEM-0014-S X Mo17","Hybrid","Hybrid","0","1",319.987283808698
"BGEM-0014-S_HN","4080","30","2","4","2","HN","2022","BGEM-0014-S","BGEM_Tall_late","Inbred","0","1",352.152394458925
"BGEM-0014-S_LN","3218","18","5","4","2","LN","2022","BGEM-0014-S","BGEM_Tall_late","Inbred","0","2",303.299954873644
"BGEM-0015-S X Mo17_HN","4547","47","11","4","2","HN","2022","BGEM-0015-S X Mo17","Hybrid","Hybrid","0","1",429.678537410467
"BGEM-0015-S X Mo17_LN","3493","43","10","1","2","LN","2022","BGEM-0015-S X Mo17","Hybrid","Hybrid","0","1",288.216575600457
"BGEM-0015-S_HN","4031","31","1","4","2","HN","2022","BGEM-0015-S","BGEM_Tall_late","Inbred","0","2",408.808647319227
"BGEM-0015-S_LN","3169","19","4","1","2","LN","2022","BGEM-0015-S","BGEM_Tall_late","Inbred","1","1.6",307.781046682647
"BGEM-0018-S_HN","4331","31","7","1","2","HN","2022","BGEM-0018-S","BGEM_Tall_early","Inbred","0","1",394.676993649316
"BGEM-0018-S_LN","3119","19","3","4","2","LN","2022","BGEM-0018-S","BGEM_Tall_early","Inbred","0","2",362.144989481331
"BGEM-0019-S X Mo17_HN","4563","13","12","1","2","HN","2022","BGEM-0019-S X Mo17","Hybrid","Hybrid","0","1",459.218778101205
"BGEM-0019-S X Mo17_LN","3471","21","10","4","2","LN","2022","BGEM-0019-S X Mo17","Hybrid","Hybrid","0","1",310.089472971369
"BGEM-0019-S_HN","4178","28","4","1","2","HN","2022","BGEM-0019-S","BGEM_Tall_late","Inbred","0","2",399.104594731544
"BGEM-0019-S_LN","3316","16","7","1","2","LN","2022","BGEM-0019-S","BGEM_Tall_late","Inbred","0","1",378.2141812919
"BGEM-0020-S_HN","4174","24","4","1","2","HN","2022","BGEM-0020-S","BGEM_Short_early","Inbred","0","1",375.728544340311
"BGEM-0020-S_LN","3199","49","4","4","2","LN","2022","BGEM-0020-S","BGEM_Short_early","Inbred","0","1",392.169207369855
"BGEM-0021-S X Mo17_HN","4583","33","12","1","2","HN","2022","BGEM-0021-S X Mo17","Hybrid","Hybrid","0","1",428.083632912924
"BGEM-0021-S X Mo17_LN","3589","39","12","1","2","LN","2022","BGEM-0021-S X Mo17","Hybrid","Hybrid","0","1",343.679552259337
"BGEM-0021-S_HN","4183","33","4","4","2","HN","2022","BGEM-0021-S","BGEM_Tall_late","Inbred","0","2",399.299374066065
"BGEM-0021-S_LN","3321","21","7","1","2","LN","2022","BGEM-0021-S","BGEM_Tall_late","Inbred","0","1",355.579715401446
"BGEM-0022-S X Mo17_HN","4567","17","12","1","2","HN","2022","BGEM-0022-S X Mo17","Hybrid","Hybrid","0","2",436.182688669793
"BGEM-0022-S X Mo17_LN","3582","32","12","1","2","LN","2022","BGEM-0022-S X Mo17","Hybrid","Hybrid","0","1",278.708521889921
"BGEM-0022-S_HN","4071","21","2","4","2","HN","2022","BGEM-0022-S","BGEM_Short_late","Inbred","0","1",390.76188911741
"BGEM-0022-S_LN","3096","46","2","4","2","LN","2022","BGEM-0022-S","BGEM_Short_late","Inbred","0","1",350.481242515974
"BGEM-0023-S X Mo17_HN","4552","2","12","1","2","HN","2022","BGEM-0023-S X Mo17","Hybrid","Hybrid","0","1",470.043027012497
"BGEM-0023-S X Mo17_LN","3573","23","12","1","2","LN","2022","BGEM-0023-S X Mo17","Hybrid","Hybrid","0","1",373.23916749918
"BGEM-0023-S_HN","4260","10","6","1","2","HN","2022","BGEM-0023-S","BGEM_Short_early","Inbred","0","1",424.893432869396
"BGEM-0023-S_LN","3285","35","6","1","2","LN","2022","BGEM-0023-S","BGEM_Short_early","Inbred","0","1",394.192240295297
"BGEM-0024-S X Mo17_HN","4478","28","10","4","2","HN","2022","BGEM-0024-S X Mo17","Hybrid","Hybrid","0","1",479.139346675103
"BGEM-0024-S X Mo17_LN","3523","23","11","1","2","LN","2022","BGEM-0024-S X Mo17","Hybrid","Hybrid","0","2",305.984913795924
"BGEM-0024-S_HN","4256","6","6","4","2","HN","2022","BGEM-0024-S","BGEM_Short_early","Inbred","0","1",425.792112972558
"BGEM-0024-S_LN","3281","31","6","4","2","LN","2022","BGEM-0024-S","BGEM_Short_early","Inbred","0","1",316.443246264316
"BGEM-0025-S_HN","4277","27","6","4","2","HN","2022","BGEM-0025-S","BGEM_Tall_early","Inbred","0","1",360.398077681535
"BGEM-0025-S_LN","3065","15","2","1","2","LN","2022","BGEM-0025-S","BGEM_Tall_early","Inbred","0","1",297.912204640318
"BGEM-0026-S X Mo17_HN","4570","20","12","1","2","HN","2022","BGEM-0026-S X Mo17","Hybrid","Hybrid","0","1",472.438943968516
"BGEM-0026-S X Mo17_LN","3453","3","10","1","2","LN","2022","BGEM-0026-S X Mo17","Hybrid","Hybrid","0","1",310.242266068242
"BGEM-0026-S_HN","4011","11","1","4","2","HN","2022","BGEM-0026-S","BGEM_Short_late","Inbred","0","2",410.747879679872
"BGEM-0026-S_LN","3036","36","1","1","2","LN","2022","BGEM-0026-S","BGEM_Short_late","Inbred","0","2",319.364615517386
"BGEM-0027-S X Mo17_HN","4586","36","12","4","2","HN","2022","BGEM-0027-S X Mo17","Hybrid","Hybrid","0","1",461.384904792659
"BGEM-0027-S X Mo17_LN","3586","36","12","1","2","LN","2022","BGEM-0027-S X Mo17","Hybrid","Hybrid","0","1",305.187057030926
"BGEM-0027-S_HN","4100","50","2","4","2","HN","2022","BGEM-0027-S","BGEM_Tall_late","Inbred","0","2",441.759467812993
"BGEM-0027-S_LN","3263","13","6","1","2","LN","2022","BGEM-0027-S","BGEM_Tall_late","Inbred","0","2",360.680070755685
"BGEM-0028-S X Mo17_HN","4493","43","10","4","2","HN","2022","BGEM-0028-S X Mo17","Hybrid","Hybrid","0","1",473.557188889239
"BGEM-0028-S X Mo17_LN","3581","31","12","1","2","LN","2022","BGEM-0028-S X Mo17","Hybrid","Hybrid","0","1",297.61483989446
"BGEM-0028-S_HN","4072","22","2","4","2","HN","2022","BGEM-0028-S","BGEM_Short_late","Inbred","0","1",426.715834817514
"BGEM-0028-S_LN","3097","47","2","4","2","LN","2022","BGEM-0028-S","BGEM_Short_late","Inbred","0","1",344.917299190656
"BGEM-0029-S X Mo17_HN","4576","26","12","1","2","HN","2022","BGEM-0029-S X Mo17","Hybrid","Hybrid","0","1",472.224065781496
"BGEM-0029-S X Mo17_LN","3459","9","10","4","2","LN","2022","BGEM-0029-S X Mo17","Hybrid","Hybrid","0","1",326.090980071386
"BGEM-0029-S_HN","4069","19","2","1","2","HN","2022","BGEM-0029-S","BGEM_Short_late","Inbred","0","2",350.87089613923
"BGEM-0029-S_LN","3094","44","2","4","2","LN","2022","BGEM-0029-S","BGEM_Short_late","Inbred","0","1",359.301580368953
"BGEM-0030-S X Mo17_HN","4533","33","11","1","2","HN","2022","BGEM-0030-S X Mo17","Hybrid","Hybrid","0","1",479.207418165232
"BGEM-0030-S X Mo17_LN","3592","42","12","4","2","LN","2022","BGEM-0030-S X Mo17","Hybrid","Hybrid","0","1",333.144753735813
"BGEM-0030-S_HN","4267","17","6","1","2","HN","2022","BGEM-0030-S","BGEM_Short_early","Inbred","0","1",437.202710107511
"BGEM-0030-S_LN","3292","42","6","4","2","LN","2022","BGEM-0030-S","BGEM_Short_early","Inbred","0","1",320.230989815915
"BGEM-0031-S_HN","4326","26","7","4","2","HN","2022","BGEM-0031-S","BGEM_Tall_early","Inbred","0","1",377.790341465512
"BGEM-0031-S_LN","3114","14","3","1","2","LN","2022","BGEM-0031-S","BGEM_Tall_early","Inbred","0","2",368.067170212384
"BGEM-0032-S X Mo17_HN","4559","9","12","1","2","HN","2022","BGEM-0032-S X Mo17","Hybrid","Hybrid","0","2",445.071250054058
"BGEM-0032-S X Mo17_LN","3503","3","11","4","2","LN","2022","BGEM-0032-S X Mo17","Hybrid","Hybrid","0","2",331.52099901882
"BGEM-0032-S_HN","4201","1","5","1","2","HN","2022","BGEM-0032-S","BGEM_Short_early","Inbred","0","2",390.089013685723
"BGEM-0032-S_LN","3226","26","5","1","2","LN","2022","BGEM-0032-S","BGEM_Short_early","Inbred","0","2",335.984245740712
"BGEM-0033-S X Mo17_HN","4457","7","10","4","2","HN","2022","BGEM-0033-S X Mo17","Hybrid","Hybrid","0","2",459.212089052834
"BGEM-0033-S X Mo17_LN","3504","4","11","4","2","LN","2022","BGEM-0033-S X Mo17","Hybrid","Hybrid","0","2",304.645832220107
"BGEM-0033-S_HN","4150","50","3","4","2","HN","2022","BGEM-0033-S","BGEM_Tall_late","Inbred","0","1",374.881980945575
"BGEM-0033-S_LN","3313","13","7","1","2","LN","2022","BGEM-0033-S","BGEM_Tall_late","Inbred","0","1",400.759843203502
"BGEM-0034-S X Mo17_HN","4498","48","10","4","2","HN","2022","BGEM-0034-S X Mo17","Hybrid","Hybrid","1","1.5",445.038718048598
"BGEM-0034-S X Mo17_LN","3475","25","10","4","2","LN","2022","BGEM-0034-S X Mo17","Hybrid","Hybrid","0","2",314.19655900601
"BGEM-0034-S_HN","4154","4","4","4","2","HN","2022","BGEM-0034-S","BGEM_Short_late","Inbred","0","1",404.938602530699
"BGEM-0034-S_LN","3179","29","4","4","2","LN","2022","BGEM-0034-S","BGEM_Short_late","Inbred","0","1",293.412831319175
"BGEM-0035-S X Mo17_HN","4497","47","10","4","2","HN","2022","BGEM-0035-S X Mo17","Hybrid","Hybrid","0","1",454.576841357404
"BGEM-0035-S X Mo17_LN","3579","29","12","1","2","LN","2022","BGEM-0035-S X Mo17","Hybrid","Hybrid","0","1",322.684846869317
"BGEM-0035-S_HN","4021","21","1","1","2","HN","2022","BGEM-0035-S","BGEM_Short_late","Inbred","0","2",353.533995279711
"BGEM-0035-S_LN","3046","46","1","1","2","LN","2022","BGEM-0035-S","BGEM_Short_late","Inbred","0","2",343.142393017315
"BGEM-0036-S X Mo17_HN","4513","13","11","1","2","HN","2022","BGEM-0036-S X Mo17","Hybrid","Hybrid","0","1",441.490968436327
