"genotype","PLOT.ID","rows","ranges","Block","Rep","Trt","year","note","Calibration","ASD","CHL"
"B73","1430","30","9","1","1","HN","2022","Hybrid","0","1",475.092324653163
"B73","1334","34","7","1","1","HN","2022","BGEM_Short_late","0","1",475.092324653163
"B73","1445","45","9","1","1","HN","2022","Hybrid","0","2",475.092324653163
"B73","4237","37","5","4","2","HN","2022","BGEM_Tall_early","0","2",475.092324653163
"B73","1325","25","7","1","1","HN","2022","BGEM_Tall_early","0","1",475.092324653163
"B73","1180","30","4","1","1","HN","2022","BGEM_Short_early","0","2",475.092324653163
"B73","4082","32","2","4","2","HN","2022","BGEM_Tall_late","0","1",475.092324653163
"B73","1261","11","6","1","1","HN","2022","BGEM_Tall_early","0","1",475.092324653163
"B73","1277","27","6","1","1","HN","2022","BGEM_Short_late","0","2",475.092324653163
"B73","1122","22","3","1","1","HN","2022","BGEM_Tall_late","0","2",475.092324653163
"B73","1106","6","3","1","1","HN","2022","BGEM_Tall_late","0","2",475.092324653163
"B73 X Mo17","1476","26","10","1","1","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","1352","2","8","1","1","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","1353","3","8","1","1","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","1494","44","10","1","1","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","1384","34","8","1","1","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","1506","6","11","1","1","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","1426","26","9","1","1","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","4596","46","12","4","2","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","4597","47","12","4","2","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","1470","20","10","1","1","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","1351","1","8","1","1","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","4600","50","12","4","2","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","1354","4","8","1","1","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","4560","10","12","4","2","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","4482","32","10","4","2","HN","2022","Hybrid","1","1.5",498.34245505986
"B73 X Mo17","1396","46","8","1","1","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","4536","36","11","4","2","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","4524","24","11","4","2","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","1438","38","9","1","1","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","4566","16","12","4","2","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","1360","10","8","1","1","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","1482","32","10","1","1","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","1402","2","9","1","1","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","4530","30","11","4","2","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","1444","44","9","1","1","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","1432","32","9","1","1","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","1366","16","8","1","1","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","1420","20","9","1","1","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","1408","8","9","1","1","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","4590","40","12","4","2","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","1450","50","9","1","1","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","4578","28","12","4","2","HN","2022","Hybrid",NA,NA,498.34245505986
"B73 X Mo17","1372","22","8","1","1","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","4500","50","10","4","2","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","1414","14","9","1","1","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","4542","42","11","4","2","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","4584","34","12","4","2","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","4599","49","12","4","2","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","1378","28","8","1","1","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","1500","50","10","1","1","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","4438","38","9","4","2","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","4506","6","11","4","2","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","1488","38","10","1","1","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","4414","14","9","4","2","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","1464","14","10","1","1","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","4390","40","8","4","2","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","4512","12","11","4","2","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","4554","4","12","4","2","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","4432","32","9","4","2","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","4488","38","10","4","2","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","4408","8","9","4","2","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","1512","12","11","1","1","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","4518","18","11","4","2","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","4572","22","12","4","2","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","4420","20","9","4","2","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","4548","48","11","4","2","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","4426","26","9","4","2","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","4402","2","9","4","2","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","4464","14","10","4","2","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","4444","44","9","4","2","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","1390","40","8","1","1","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","4450","50","9","4","2","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","4494","44","10","4","2","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","4396","46","8","4","2","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","4458","8","10","4","2","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","4470","20","10","4","2","HN","2022","Hybrid","0","1",498.34245505986
"B73 X Mo17","1458","8","10","1","1","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","4598","48","12","4","2","HN","2022","Hybrid","0","2",498.34245505986
"B73 X Mo17","4476","26","10","4","2","HN","2022","Hybrid","0","1",498.34245505986
"BGEM-0001-N","1313","13","7","1","1","HN","2022","BGEM_Tall_early","0","2",310.604380514135
"BGEM-0001-N","4338","38","7","4","2","HN","2022","BGEM_Tall_early","0","2",310.604380514135
"BGEM-0002-N","4339","39","7","4","2","HN","2022","BGEM_Tall_early","0","2",400.861722842523
"BGEM-0002-N","1314","14","7","1","1","HN","2022","BGEM_Tall_early","0","1",400.861722842523
"BGEM-0002-N X B73","4382","32","8","4","2","HN","2022","Hybrid","0","1",490.539489080747
"BGEM-0002-N X B73","1434","34","9","1","1","HN","2022","Hybrid","0","1",490.539489080747
"BGEM-0003-N","1111","11","3","1","1","HN","2022","BGEM_Tall_late","0","1",433.836535508708
"BGEM-0003-N","4136","36","3","4","2","HN","2022","BGEM_Tall_late","0","1",433.836535508708
"BGEM-0003-N X B73","1406","6","9","1","1","HN","2022","Hybrid","0","1",461.103530195995
"BGEM-0003-N X B73","4356","6","8","4","2","HN","2022","Hybrid","0","2",461.103530195995
"BGEM-0004-N","1298","48","6","1","1","HN","2022","BGEM_Short_late","0","2",373.498438435124
"BGEM-0004-N","4111","11","3","4","2","HN","2022","BGEM_Short_late","0","1",373.498438435124
"BGEM-0004-N X B73","4370","20","8","4","2","HN","2022","Hybrid","0","1",488.054018146123
"BGEM-0004-N X B73","1395","45","8","1","1","HN","2022","Hybrid","0","1",488.054018146123
"BGEM-0005-N","1321","21","7","1","1","HN","2022","BGEM_Tall_early","0","1",464.352803579425
"BGEM-0005-N","4346","46","7","4","2","HN","2022","BGEM_Tall_early","0","2",464.352803579425
"BGEM-0005-N X B73","4369","19","8","4","2","HN","2022","Hybrid","0","1",470.942702658195
"BGEM-0005-N X B73","1386","36","8","1","1","HN","2022","Hybrid","0","2",470.942702658195
"BGEM-0006-S","1322","22","7","1","1","HN","2022","BGEM_Tall_early","0","1",375.355989540338
"BGEM-0006-S","4347","47","7","4","2","HN","2022","BGEM_Tall_early","0","2",375.355989540338
"BGEM-0006-S X Mo17","1568","18","12","1","1","HN","2022","Hybrid","0","1",502.355467423901
"BGEM-0006-S X Mo17","4595","45","12","4","2","HN","2022","Hybrid","0","1",502.355467423901
"BGEM-0007-S","4195","45","4","4","2","HN","2022","BGEM_Tall_early","0","2",373.186012063065
"BGEM-0007-S","1170","20","4","1","1","HN","2022","BGEM_Tall_early",NA,NA,373.186012063065
"BGEM-0008-S","4166","16","4","4","2","HN","2022","BGEM_Short_early","0","2",374.228535543988
"BGEM-0008-S","1028","28","1","1","1","HN","2022","BGEM_Short_early","0","2",374.228535543988
"BGEM-0008-S X Mo17","1559","9","12","1","1","HN","2022","Hybrid","0","1",490.772706780562
"BGEM-0010-S","4216","16","5","4","2","HN","2022","BGEM_Short_early","0","2",407.194862247483
"BGEM-0010-S","1078","28","2","1","1","HN","2022","BGEM_Short_early","0","2",407.194862247483
"BGEM-0010-S X Mo17","1580","30","12","1","1","HN","2022","Hybrid","0","1",497.408748170208
"BGEM-0010-S X Mo17","4475","25","10","4","2","HN","2022","Hybrid","0","1",497.408748170208
"BGEM-0011-S","4092","42","2","4","2","HN","2022","BGEM_Tall_late","0","1",437.708963812678
"BGEM-0011-S","1067","17","2","1","1","HN","2022","BGEM_Tall_late","0","2",437.708963812678
"BGEM-0011-S X Mo17","1465","15","10","1","1","HN","2022","Hybrid","0","2",440.057519675305
"BGEM-0011-S X Mo17","4492","42","10","4","2","HN","2022","Hybrid","0","2",440.057519675305
"BGEM-0012-S","1096","46","2","1","1","HN","2022","BGEM_Short_early","0","1",479.178135845308
"BGEM-0012-S","4259","9","6","4","2","HN","2022","BGEM_Short_early","0","1",479.178135845308
"BGEM-0012-S X Mo17","4503","3","11","4","2","HN","2022","Hybrid","0","2",485.061739035694
"BGEM-0012-S X Mo17","1477","27","10","1","1","HN","2022","Hybrid","0","2",485.061739035694
"BGEM-0013-S","1094","44","2","1","1","HN","2022","BGEM_Short_early","0","1",426.195358408778
"BGEM-0013-S","4257","7","6","4","2","HN","2022","BGEM_Short_early","0","1",426.195358408778
"BGEM-0014-S","1055","5","2","1","1","HN","2022","BGEM_Tall_late","0","2",364.62670876049
"BGEM-0014-S","4080","30","2","4","2","HN","2022","BGEM_Tall_late","0","1",364.62670876049
"BGEM-0014-S X Mo17","1508","8","11","1","1","HN","2022","Hybrid","0","1",437.617535409828
"BGEM-0014-S X Mo17","4545","45","11","4","2","HN","2022","Hybrid","0","1",437.617535409828
"BGEM-0015-S","1006","6","1","1","1","HN","2022","BGEM_Tall_late","0","1",426.567835425048
"BGEM-0015-S","4031","31","1","4","2","HN","2022","BGEM_Tall_late","0","2",426.567835425048
"BGEM-0015-S X Mo17","4547","47","11","4","2","HN","2022","Hybrid","0","1",439.526737670632
"BGEM-0015-S X Mo17","1538","38","11","1","1","HN","2022","Hybrid","0","2",439.526737670632
"BGEM-0018-S","1306","6","7","1","1","HN","2022","BGEM_Tall_early","0","1",410.588728018112
"BGEM-0018-S","4331","31","7","4","2","HN","2022","BGEM_Tall_early","0","1",410.588728018112
"BGEM-0019-S","1153","3","4","1","1","HN","2022","BGEM_Tall_late","0","1",419.272838200711
"BGEM-0019-S","4178","28","4","4","2","HN","2022","BGEM_Tall_late","0","2",419.272838200711
"BGEM-0019-S X Mo17","4563","13","12","4","2","HN","2022","Hybrid","0","1",467.199478952592
"BGEM-0019-S X Mo17","1541","41","11","1","1","HN","2022","Hybrid","0","2",467.199478952592
"BGEM-0020-S","1036","36","1","1","1","HN","2022","BGEM_Short_early","0","1",379.930837797583
"BGEM-0020-S","4174","24","4","4","2","HN","2022","BGEM_Short_early","0","1",379.930837797583
"BGEM-0021-S","1158","8","4","1","1","HN","2022","BGEM_Tall_late","0","2",409.112065459567
"BGEM-0021-S","4183","33","4","4","2","HN","2022","BGEM_Tall_late","0","2",409.112065459567
"BGEM-0021-S X Mo17","1535","35","11","1","1","HN","2022","Hybrid","0","2",436.96126598894
"BGEM-0021-S X Mo17","4583","33","12","4","2","HN","2022","Hybrid","0","1",436.96126598894
"BGEM-0022-S","4071","21","2","4","2","HN","2022","BGEM_Short_late","0","1",400.32272935687
"BGEM-0022-S","1283","33","6","1","1","HN","2022","BGEM_Short_late","0","2",400.32272935687
"BGEM-0022-S X Mo17","1553","3","12","1","1","HN","2022","Hybrid","0","1",446.902021923846
"BGEM-0022-S X Mo17","4567","17","12","4","2","HN","2022","Hybrid","0","2",446.902021923846
"BGEM-0023-S","4260","10","6","4","2","HN","2022","BGEM_Short_early","0","1",435.300608748796
"BGEM-0023-S","1097","47","2","1","1","HN","2022","BGEM_Short_early","0","1",435.300608748796
"BGEM-0023-S X Mo17","4552","2","12","4","2","HN","2022","Hybrid","0","1",481.463951190132
"BGEM-0023-S X Mo17","1495","45","10","1","1","HN","2022","Hybrid","0","1",481.463951190132
"BGEM-0024-S","1093","43","2","1","1","HN","2022","BGEM_Short_early","0","1",440.433472438941
"BGEM-0024-S","4256","6","6","4","2","HN","2022","BGEM_Short_early","0","1",440.433472438941
"BGEM-0024-S X Mo17","4478","28","10","4","2","HN","2022","Hybrid","0","1",488.206700865451
"BGEM-0024-S X Mo17","1567","17","12","1","1","HN","2022","Hybrid","0","1",488.206700865451
"BGEM-0025-S","1252","2","6","1","1","HN","2022","BGEM_Tall_early","0","1",378.296058759727
"BGEM-0025-S","4277","27","6","4","2","HN","2022","BGEM_Tall_early","0","1",378.296058759727
"BGEM-0026-S","1198","48","4","1","1","HN","2022","BGEM_Short_late","0","2",417.38668682453
"BGEM-0026-S","4011","11","1","4","2","HN","2022","BGEM_Short_late","0","2",417.38668682453
"BGEM-0026-S X Mo17","1527","27","11","1","1","HN","2022","Hybrid","0","2",479.909818316522
"BGEM-0026-S X Mo17","4570","20","12","4","2","HN","2022","Hybrid","0","1",479.909818316522
"BGEM-0027-S","1075","25","2","1","1","HN","2022","BGEM_Tall_late","0","2",446.657668308131
"BGEM-0027-S","4100","50","2","4","2","HN","2022","BGEM_Tall_late","0","2",446.657668308131
"BGEM-0027-S X Mo17","4586","36","12","4","2","HN","2022","Hybrid","0","1",471.500913029679
"BGEM-0027-S X Mo17","1480","30","10","1","1","HN","2022","Hybrid","0","2",471.500913029679
"BGEM-0028-S","4072","22","2","4","2","HN","2022","BGEM_Short_late","0","1",435.906196567907
"BGEM-0028-S","1284","34","6","1","1","HN","2022","BGEM_Short_late","0","2",435.906196567907
"BGEM-0028-S X Mo17","1579","29","12","1","1","HN","2022","Hybrid","0","2",481.277826606971
"BGEM-0028-S X Mo17","4493","43","10","4","2","HN","2022","Hybrid","0","1",481.277826606971
"BGEM-0029-S","1281","31","6","1","1","HN","2022","BGEM_Short_late","0","2",359.362819689136
"BGEM-0029-S","4069","19","2","4","2","HN","2022","BGEM_Short_late","0","2",359.362819689136
"BGEM-0029-S X Mo17","1573","23","12","1","1","HN","2022","Hybrid","0","1",486.290324882432
"BGEM-0029-S X Mo17","4576","26","12","4","2","HN","2022","Hybrid","0","1",486.290324882432
"BGEM-0030-S","4267","17","6","4","2","HN","2022","BGEM_Short_early","0","1",450.018765329148
"BGEM-0030-S","1129","29","3","1","1","HN","2022","BGEM_Short_early","0","1",450.018765329148
"BGEM-0030-S X Mo17","1490","40","10","1","1","HN","2022","Hybrid","0","1",485.255766159948
"BGEM-0030-S X Mo17","4533","33","11","4","2","HN","2022","Hybrid","0","1",485.255766159948
"BGEM-0031-S","4326","26","7","4","2","HN","2022","BGEM_Tall_early","0","1",391.169157634455
"BGEM-0031-S","1301","1","7","1","1","HN","2022","BGEM_Tall_early","0","1",391.169157634455
"BGEM-0032-S","1038","38","1","1","1","HN","2022","BGEM_Short_early","0","2",398.617866405989
"BGEM-0032-S","4201","1","5","4","2","HN","2022","BGEM_Short_early","0","2",398.617866405989
"BGEM-0032-S X Mo17","1556","6","12","1","1","HN","2022","Hybrid","0","1",459.792187227609
"BGEM-0032-S X Mo17","4559","9","12","4","2","HN","2022","Hybrid","0","2",459.792187227609
"BGEM-0033-S","1125","25","3","1","1","HN","2022","BGEM_Tall_late","0","1",393.318617201669
"BGEM-0033-S","4150","50","3","4","2","HN","2022","BGEM_Tall_late","0","1",393.318617201669
"BGEM-0033-S X Mo17","1588","38","12","1","1","HN","2022","Hybrid","0","2",468.184715583793
"BGEM-0033-S X Mo17","4457","7","10","4","2","HN","2022","Hybrid","0","2",468.184715583793
"BGEM-0034-S","4154","4","4","4","2","HN","2022","BGEM_Short_late","0","1",419.578640518107
"BGEM-0034-S","1341","41","7","1","1","HN","2022","BGEM_Short_late","0","1",419.578640518107
"BGEM-0034-S X Mo17","4498","48","10","4","2","HN","2022","Hybrid","1","1.5",458.98288106829
"BGEM-0034-S X Mo17","1558","8","12","1","1","HN","2022","Hybrid","0","1",458.98288106829
"BGEM-0035-S","1233","33","5","1","1","HN","2022","BGEM_Short_late","1","1.5",372.157257764427
"BGEM-0035-S","4021","21","1","4","2","HN","2022","BGEM_Short_late","0","2",372.157257764427
"BGEM-0035-S X Mo17","4497","47","10","4","2","HN","2022","Hybrid","0","1",463.390841213128
"BGEM-0035-S X Mo17","1513","13","11","1","1","HN","2022","Hybrid","0","2",463.390841213128
"BGEM-0036-S","4023","23","1","4","2","HN","2022","BGEM_Short_late","0","2",355.935553279537
"BGEM-0036-S","1235","35","5","1","1","HN","2022","BGEM_Short_late","0","2",355.935553279537
"BGEM-0036-S X Mo17","1511","11","11","1","1","HN","2022","Hybrid","0","2",449.60914420368
"BGEM-0036-S X Mo17","4513","13","11","4","2","HN","2022","Hybrid","0","1",449.60914420368
"BGEM-0037-S","1086","36","2","1","1","HN","2022","BGEM_Short_early","0","2",411.44424569148
"BGEM-0037-S","4224","24","5","4","2","HN","2022","BGEM_Short_early","0","1",411.44424569148
"BGEM-0038-N","4093","43","2","4","2","HN","2022","BGEM_Tall_late","0","1",368.838444431612
"BGEM-0038-N","1068","18","2","1","1","HN","2022","BGEM_Tall_late","0","2",368.838444431612
"BGEM-0038-N X B73","4430","30","9","4","2","HN","2022","Hybrid","0","1",516.771442557548
"BGEM-0038-N X B73","1427","27","9","1","1","HN","2022","Hybrid","0","2",516.771442557548
"BGEM-0039-N","1039","39","1","1","1","HN","2022","BGEM_Short_early","0","1",362.039119420837
"BGEM-0039-N","4202","2","5","4","2","HN","2022","BGEM_Short_early","0","2",362.039119420837
"BGEM-0039-N X B73","1357","7","8","1","1","HN","2022","Hybrid","0","1",484.626341299006
"BGEM-0039-N X B73","4422","22","9","4","2","HN","2022","Hybrid","0","1",484.626341299006
"BGEM-0040-N","1134","34","3","1","1","HN","2022","BGEM_Short_early","0","1",367.218701818902
"BGEM-0040-N","4272","22","6","4","2","HN","2022","BGEM_Short_early","0","2",367.218701818902
"BGEM-0040-N X B73","4437","37","9","4","2","HN","2022","Hybrid","0","1",461.895704275329
"BGEM-0040-N X B73","1412","12","9","1","1","HN","2022","Hybrid","0","2",461.895704275329
"BGEM-0041-S","1264","14","6","1","1","HN","2022","BGEM_Tall_early","0","1",402.730004778549
"BGEM-0041-S","4289","39","6","4","2","HN","2022","BGEM_Tall_early","0","1",402.730004778549
"BGEM-0042-S","4162","12","4","4","2","HN","2022","BGEM_Short_late","0","2",402.24205979841
"BGEM-0042-S","1349","49","7","1","1","HN","2022","BGEM_Short_late","0","1",402.24205979841
"BGEM-0043-S","1020","20","1","1","1","HN","2022","BGEM_Tall_late","0","2",421.809959623327
"BGEM-0043-S","4045","45","1","4","2","HN","2022","BGEM_Tall_late","0","2",421.809959623327
"BGEM-0043-S X Mo17","1454","4","10","1","1","HN","2022","Hybrid","0","2",480.623647921821
"BGEM-0043-S X Mo17","4472","22","10","4","2","HN","2022","Hybrid",NA,NA,480.623647921821
"BGEM-0044-S","4345","45","7","4","2","HN","2022","BGEM_Tall_early","0","2",381.764078593463
"BGEM-0044-S","1320","20","7","1","1","HN","2022","BGEM_Tall_early","0","1",381.764078593463
"BGEM-0044-S X Mo17","4531","31","11","4","2","HN","2022","Hybrid","0","1",445.625932065815
"BGEM-0044-S X Mo17","1550","50","11","1","1","HN","2022","Hybrid","0","2",445.625932065815
"BGEM-0045-N","1203","3","5","1","1","HN","2022","BGEM_Tall_early","0","1",366.075962349664
"BGEM-0045-N","4228","28","5","4","2","HN","2022","BGEM_Tall_early","0","2",366.075962349664
"BGEM-0045-N X B73","4423","23","9","4","2","HN","2022","Hybrid","0","1",397.520697521738
"BGEM-0045-N X B73","1451","1","10","1","1","HN","2022","Hybrid","0","2",397.520697521738
"BGEM-0046-N","1221","21","5","1","1","HN","2022","BGEM_Tall_early","0","2",343.641433639008
"BGEM-0046-N","4246","46","5","4","2","HN","2022","BGEM_Tall_early","0","2",343.641433639008
"BGEM-0046-N X B73","1416","16","9","1","1","HN","2022","Hybrid","0","1",488.128219078936
"BGEM-0046-N X B73","4411","11","9","4","2","HN","2022","Hybrid","0","2",488.128219078936
"BGEM-0047-S","4170","20","4","4","2","HN","2022","BGEM_Short_early","0","1",457.06673482171
"BGEM-0047-S","1032","32","1","1","1","HN","2022","BGEM_Short_early","0","2",457.06673482171
"BGEM-0047-S X Mo17","4549","49","11","4","2","HN","2022","Hybrid","0","1",460.405565145672
"BGEM-0047-S X Mo17","1557","7","12","1","1","HN","2022","Hybrid","0","1",460.405565145672
"BGEM-0048-S","1229","29","5","1","1","HN","2022","BGEM_Short_late","0","1",382.836767768533
"BGEM-0048-S","4017","17","1","4","2","HN","2022","BGEM_Short_late","0","2",382.836767768533
"BGEM-0048-S X Mo17","4538","38","11","4","2","HN","2022","Hybrid","0","2",457.98583509535
"BGEM-0048-S X Mo17","1593","43","12","1","1","HN","2022","Hybrid","1","1.5",457.98583509535
"BGEM-0049-S","4193","43","4","4","2","HN","2022","BGEM_Tall_early","0","2",418.461617053657
"BGEM-0049-S","1168","18","4","1","1","HN","2022","BGEM_Tall_early","0","1",418.461617053657
"BGEM-0049-S X Mo17","1468","18","10","1","1","HN","2022","Hybrid","0","2",461.659288033584
"BGEM-0049-S X Mo17","4510","10","11","4","2","HN","2022","Hybrid","0","2",461.659288033584
"BGEM-0050-S","1133","33","3","1","1","HN","2022","BGEM_Short_early","0","1",431.295416678977
"BGEM-0050-S","4271","21","6","4","2","HN","2022","BGEM_Short_early","0","2",431.295416678977
"BGEM-0050-S X Mo17","1475","25","10","1","1","HN","2022","Hybrid","0","2",459.415920145965
"BGEM-0050-S X Mo17","4481","31","10","4","2","HN","2022","Hybrid","1","1.5",459.415920145965
"BGEM-0051-S","4089","39","2","4","2","HN","2022","BGEM_Tall_late",NA,NA,354.922366410572
"BGEM-0051-S","1064","14","2","1","1","HN","2022","BGEM_Tall_late","0","2",354.922366410572
"BGEM-0051-S X Mo17","1463","13","10","1","1","HN","2022","Hybrid","0","2",480.000641113533
"BGEM-0051-S X Mo17","4504","4","11","4","2","HN","2022","Hybrid","0","1",480.000641113533
"BGEM-0052-S","1109","9","3","1","1","HN","2022","BGEM_Tall_late","0","2",352.362829552067
"BGEM-0052-S","4134","34","3","4","2","HN","2022","BGEM_Tall_late","0","1",352.362829552067
"BGEM-0052-S X Mo17","1491","41","10","1","1","HN","2022","Hybrid","0","2",465.92852312754
"BGEM-0052-S X Mo17","4537","37","11","4","2","HN","2022","Hybrid","0","1",465.92852312754
"BGEM-0053-S","1258","8","6","1","1","HN","2022","BGEM_Tall_early","0","1",449.750788328846
"BGEM-0053-S","4283","33","6","4","2","HN","2022","BGEM_Tall_early","0","2",449.750788328846
